fighter_url,first_name,last_name,nickname,stance,wins,losses,draws,slpm,sapm,td_avg,sub_avg,full_name,height_inches,reach_inches,weight_lbs,total_fights,win_pct,str_acc_career,str_def_career,td_acc_career,td_def_career,dob_parsed
http://www.ufcstats.com/fighter-details/4f2fcbefb668689d,Jake,Rosholt,,Orthodox,12,5,0,2.68,2.33,6.51,1.8,Jake Rosholt,73.0,,185.0,17,0.7058823529411765,0.53,0.49,0.68,,1982-02-09
http://www.ufcstats.com/fighter-details/91ea901c458e95dd,Jared,Rosholt,,Orthodox,14,4,0,2.08,1.52,1.83,0.1,Jared Rosholt,74.0,75.0,265.0,18,0.7777777777777778,0.46,0.59,0.41,0.66,1986-08-04
http://www.ufcstats.com/fighter-details/598a58db87b890ee,Kevin,Rosier,,Orthodox,2,6,0,0.0,0.0,0.0,0.0,Kevin Rosier,76.0,,275.0,8,0.25,,,,,
http://www.ufcstats.com/fighter-details/208b6926916867c7,Zach,Rosol,,,3,2,0,0.0,14.21,0.0,0.0,Zach Rosol,,,243.0,5,0.6,,0.25,,,
http://www.ufcstats.com/fighter-details/51c655162e462ceb,Shannon,Ross,The Turkish Delight,Switch,13,9,0,5.96,7.39,0.0,0.0,Shannon Ross,66.0,66.0,125.0,22,0.5909090909090909,0.39,0.55,,1.0,1989-05-12
http://www.ufcstats.com/fighter-details/ff3a915256b899c0,Nick,Rossborough,Leatherface,,26,19,1,2.8,4.33,0.0,0.0,Nick Rossborough,77.0,,205.0,46,0.5652173913043478,0.35,0.35,,1.0,1981-11-18
http://www.ufcstats.com/fighter-details/af49a6c491ca22a3,Kristian,Rothaermel,,Open Stance,4,3,0,0.75,2.49,0.0,0.0,Kristian Rothaermel,72.0,,205.0,7,0.5714285714285714,0.5,0.41,,,1972-01-31
http://www.ufcstats.com/fighter-details/bd58d34e39b7b12a,Ben,Rothwell,,Orthodox,39,14,0,3.71,4.63,0.68,0.4,Ben Rothwell,76.0,78.0,265.0,53,0.7358490566037735,0.42,0.47,0.34,0.7,1981-10-17
http://www.ufcstats.com/fighter-details/872b018076f831b0,Rick,Roufus,,Southpaw,4,6,0,0.53,1.06,0.0,0.0,Rick Roufus,72.0,,207.0,10,0.4,0.33,0.33,,0.5,1966-06-03
http://www.ufcstats.com/fighter-details/749f572d1d3161fb,Khalil,Rountree Jr.,,Southpaw,15,7,0,3.88,4.33,0.0,0.1,Khalil Rountree Jr.,73.0,76.0,205.0,22,0.6818181818181818,0.4,0.49,,0.58,1990-02-26
