event_name,event_url,event_date,location
UFC Fight Night: Blaydes vs. Aspinall,http://www.ufcstats.com/event-details/319c15b8aac5bfde,"London, England, United Kingdom",
UFC Fight Night: Ortega vs. Rodriguez,http://www.ufcstats.com/event-details/8fd76e1b49c00ae2,"Elmont, New York, USA",
UFC Fight Night: Dos Anjos vs. Fiziev,http://www.ufcstats.com/event-details/31da66df48c0c1a0,"Las Vegas, Nevada, USA",
UFC 276: Adesanya vs. Cannonier,http://www.ufcstats.com/event-details/4a9e305633f3ef47,"Las Vegas, Nevada, USA",
UFC Fight Night: Tsarukyan vs. Gamrot,http://www.ufcstats.com/event-details/eb42d4febfafefd1,"Las Vegas, Nevada, USA",
UFC Fight Night: Kattar vs. Emmett,http://www.ufcstats.com/event-details/a0a680fe2f6cc8e6,"Austin, Texas, USA",
UFC 275: Teixeira vs. Prochazka,http://www.ufcstats.com/event-details/3a24769a4855040a,"Kallang, Singapore",
UFC Fight Night: Volkov vs. Rozenstruik,http://www.ufcstats.com/event-details/57591bbf1623574e,"Las Vegas, Nevada, USA",
UFC Fight Night: Holm vs. Vieira,http://www.ufcstats.com/event-details/a6c32678efd4f434,"Las Vegas, Nevada, USA",
UFC Fight Night: Blachowicz vs. Rakic,http://www.ufcstats.com/event-details/60ba33c3f555a7a3,"Las Vegas, Nevada, USA",
UFC 274: Oliveira vs. Gaethje,http://www.ufcstats.com/event-details/253d3f9e97ca149a,"Phoenix, Arizona, USA",
UFC Fight Night: Font vs. Vera,http://www.ufcstats.com/event-details/6bf5a7d3e081ade2,"Las Vegas, Nevada, USA",
UFC Fight Night: Lemos vs. Andrade,http://www.ufcstats.com/event-details/236a37d96d476164,"Las Vegas, Nevada, USA",
UFC Fight Night: Luque vs. Muhammad,http://www.ufcstats.com/event-details/8753e125f4499816,"Las Vegas, Nevada, USA",
UFC 273: Volkanovski vs. The Korean Zombie,http://www.ufcstats.com/event-details/3a97fda0de6f1fa4,"Jacksonville, Florida, USA",
UFC Fight Night: Blaydes vs. Daukaus,http://www.ufcstats.com/event-details/1fac46d466abd5b8,"Columbus, Ohio, USA",
UFC Fight Night: Volkov vs. Aspinall,http://www.ufcstats.com/event-details/1d00756835ca67c9,"London, England, United Kingdom",
UFC Fight Night: Santos vs. Ankalaev,http://www.ufcstats.com/event-details/1f9344211ca7fd60,"Las Vegas, Nevada, USA",
UFC 272: Covington vs. Masvidal,http://www.ufcstats.com/event-details/75e0d3cc2262b732,"Las Vegas, Nevada, USA",
UFC Fight Night: Makhachev vs. Green,http://www.ufcstats.com/event-details/f6a7b02c42e9fc5b,"Las Vegas, Nevada, USA",
UFC Fight Night: Walker vs. Hill,http://www.ufcstats.com/event-details/77940e45bc86208e,"Las Vegas, Nevada, USA",
UFC 271: Adesanya vs. Whittaker 2,http://www.ufcstats.com/event-details/cbb682f5fcc44bfc,"Houston, Texas, USA",
UFC Fight Night: Hermansson vs. Strickland,http://www.ufcstats.com/event-details/883922e5cd6d8473,"Las Vegas, Nevada, USA",
UFC 270: Ngannou vs. Gane,http://www.ufcstats.com/event-details/335ad945324c3a2e,"Anaheim, California, USA",
UFC Fight Night: Kattar vs. Chikadze,http://www.ufcstats.com/event-details/f5585e675af7afd4,"Las Vegas, Nevada, USA",
UFC Fight Night: Lewis vs. Daukaus,http://www.ufcstats.com/event-details/2a470ad41c22c25a,"Las Vegas, Nevada, USA",
UFC 269: Oliveira vs. Poirier,http://www.ufcstats.com/event-details/ef927e4fe2117ab8,"Las Vegas, Nevada, USA",
UFC Fight Night: Font vs. Aldo,http://www.ufcstats.com/event-details/509697e08673d2e5,"Las Vegas, Nevada, USA",
UFC Fight Night: Vieira vs. Tate,http://www.ufcstats.com/event-details/c95fbc085e17a532,"Las Vegas, Nevada, USA",
UFC Fight Night: Holloway vs. Rodriguez,http://www.ufcstats.com/event-details/b5abaa65f87938eb,"Las Vegas, Nevada, USA",
UFC 268: Usman vs. Covington 2,http://www.ufcstats.com/event-details/48e093ea1f43a053,"New York City, New York, USA",
UFC 267: Blachowicz vs. Teixeira,http://www.ufcstats.com/event-details/3974fa35c917af1d,"Abu Dhabi, Abu Dhabi, United Arab Emirates",
UFC Fight Night: Costa vs. Vettori,http://www.ufcstats.com/event-details/8a9c6c4301f6d088,"Las Vegas, Nevada, USA",
UFC Fight Night: Ladd vs. Dumont,http://www.ufcstats.com/event-details/8f4616698508f24d,"Las Vegas, Nevada, USA",
UFC Fight Night: Dern vs. Rodriguez,http://www.ufcstats.com/event-details/d247691a6c0e9034,"Las Vegas, Nevada, USA",
UFC Fight Night: Santos vs. Walker,http://www.ufcstats.com/event-details/e15d0a2519d6a0b5,"Las Vegas, Nevada, USA",
UFC 266: Volkanovski vs. Ortega,http://www.ufcstats.com/event-details/0eec866a077889f0,"Las Vegas, Nevada, USA",
UFC Fight Night: Smith vs. Spann,http://www.ufcstats.com/event-details/4c27ca8c8481f79a,"Las Vegas, Nevada, USA",
UFC Fight Night: Brunson vs. Till,http://www.ufcstats.com/event-details/b9532d815060de7f,"Las Vegas, Nevada, USA",
UFC Fight Night: Barboza vs. Chikadze,http://www.ufcstats.com/event-details/0db9d2486d564a3c,"Las Vegas, Nevada, USA",
UFC Fight Night: Cannonier vs. Gastelum,http://www.ufcstats.com/event-details/2f13e4020cea5b38,"Las Vegas, Nevada, USA",
UFC 265: Lewis vs. Gane,http://www.ufcstats.com/event-details/972197a8c61ac413,"Houston, Texas, USA",
UFC Fight Night: Hall vs. Strickland,http://www.ufcstats.com/event-details/320edfb0332b7073,"Las Vegas, Nevada, USA",
UFC Fight Night: Sandhagen vs. Dillashaw,http://www.ufcstats.com/event-details/e57f0b06ea39e360,"Las Vegas, Nevada, USA",
UFC Fight Night: Makhachev vs. Moises,http://www.ufcstats.com/event-details/40389d39a92f5bfa,"Las Vegas, Nevada, USA",
UFC 264: Poirier vs. McGregor 3,http://www.ufcstats.com/event-details/8a0be41c0380188d,"Las Vegas, Nevada, USA",
UFC Fight Night: Gane vs. Volkov,http://www.ufcstats.com/event-details/a1d6b308781aa2f5,"Las Vegas, Nevada, USA",
UFC Fight Night: Jung vs. Ige,http://www.ufcstats.com/event-details/9ddfb3369a3b0394,"Las Vegas, Nevada, USA",
UFC 263: Adesanya vs. Vettori 2,http://www.ufcstats.com/event-details/0b64d0fed453ef7f,"Glendale, Arizona, USA",
UFC Fight Night: Rozenstruik vs. Sakai,http://www.ufcstats.com/event-details/3b2485c8d5c8b580,"Las Vegas, Nevada, USA",
UFC Fight Night: Font vs. Garbrandt,http://www.ufcstats.com/event-details/277ffed20cf07aea,"Las Vegas, Nevada, USA",
UFC 262: Oliveira vs. Chandler,http://www.ufcstats.com/event-details/744f50016c39c26c,"Houston, Texas, USA",
UFC Fight Night: Rodriguez vs. Waterson,http://www.ufcstats.com/event-details/58a36b4ccf5dc30e,"Las Vegas, Nevada, USA",
UFC Fight Night: Reyes vs. Prochazka,http://www.ufcstats.com/event-details/d57e6a8971b6d2bd,"Las Vegas, Nevada, USA",
UFC 261: Usman vs. Masvidal 2,http://www.ufcstats.com/event-details/27541033b97c076d,"Jacksonville, Florida, USA",
UFC Fight Night: Whittaker vs. Gastelum,http://www.ufcstats.com/event-details/4a35913bd9aa4161,"Las Vegas, Nevada, USA",
