number,value,datetime_start,datetime_complete,duration,params_auto_class_weights,params_bagging_temperature,params_border_count,params_depth,params_l2_leaf_reg,params_learning_rate,params_min_data_in_leaf,params_random_strength,params_subsample,user_attrs_avg_best_iteration,user_attrs_cv_accuracy,user_attrs_cv_logloss,user_attrs_fold_accs,user_attrs_fold_lls,state,model,cv_accuracy,cv_logloss,avg_best_iteration
40,0.5701862013277658,2026-04-14 23:33:03.786496,2026-04-14 23:35:34.537907,0 days 00:02:30.751411,,0.32380282765599433,73,8,5.257942679150942,0.010912992762768676,4,0.8876635916581361,0.6747562456476686,673.4,0.7077830188679245,0.5701862013277658,"[0.6497641509433962, 0.7004716981132075, 0.7134433962264151, 0.7417452830188679, 0.7334905660377359]","[0.616952500770268, 0.5929205182110443, 0.5839067461037095, 0.5232670604050909, 0.5338841811487159]",COMPLETE,cat,0.7077830188679245,0.5701862013277658,673.4
41,0.5658898084717034,2026-04-14 23:35:34.552813,2026-04-14 23:36:42.405487,0 days 00:01:07.852674,,0.5392442446219039,35,8,2.890329493776904,0.013943116780134197,5,0.37676315684987927,0.6426192474427517,422.4,0.7080188679245284,0.5658898084717034,"[0.6485849056603774, 0.7087264150943396, 0.6922169811320755, 0.7429245283018868, 0.7476415094339622]","[0.6138588734767045, 0.5825815011030743, 0.5815436841451713, 0.5191264183261831, 0.5323385653073841]",COMPLETE,cat,0.7080188679245284,0.5658898084717034,422.4
42,0.5995784442313205,2026-04-14 23:36:42.423130,2026-04-14 23:36:59.034929,0 days 00:00:16.611799,,0.5663345223794191,36,8,1.2959562338562816,0.015446186632916224,5,0.3891981138744945,0.6870021315755892,,,,,,PRUNED,cat,,,
43,,2026-04-14 23:36:59.047469,,,,0.06604071718931809,63,8,3.2992787329882214,0.013002554076720853,9,0.767422496387805,0.6493509888583862,,,,,,RUNNING,cat,,,
44,0.6008575768054502,2026-04-14 23:38:08.595002,2026-04-14 23:39:01.023311,0 days 00:00:52.428309,,0.027005356429464333,63,8,3.3998909575365635,0.0128162880541117,5,1.5028241152467303,0.6442545907946048,,,,,,PRUNED,cat,,,
45,0.5693730630067819,2026-04-14 23:39:01.047522,2026-04-14 23:40:45.037208,0 days 00:01:43.989686,,0.8742891611849618,38,9,5.724740765701116,0.020079339451646715,15,0.7078165397414173,0.7263621068074445,393.0,0.6966981132075473,0.5693730630067819,"[0.6426886792452831, 0.6992924528301887, 0.6816037735849056, 0.7299528301886793, 0.7299528301886793]","[0.6167440464475972, 0.5924373218669786, 0.5836283861594836, 0.5257977370168513, 0.5282578235429984]",COMPLETE,cat,0.6966981132075473,0.5693730630067819,393.0
46,0.60403658938715,2026-04-14 23:40:45.053531,2026-04-14 23:41:00.231226,0 days 00:00:15.177695,,1.0903284979510104,53,7,0.019367283524941683,0.010127196865108783,26,1.061360334541194,0.7813948415664244,,,,,,PRUNED,cat,,,
47,0.5734681237087734,2026-04-14 23:41:00.247967,2026-04-14 23:42:25.071055,0 days 00:01:24.823088,Balanced,0.4359904071174535,83,8,0.8387744815011882,0.012714401565309827,9,0.45544438696043626,0.6375243619989645,,,,,,PRUNED,cat,,,
48,0.6078733301613058,2026-04-14 23:42:25.106835,2026-04-14 23:42:57.452178,0 days 00:00:32.345343,,1.476132036865056,48,9,0.23727234249967136,0.018507149592331656,4,1.2861914281797517,0.6564557030741694,,,,,,PRUNED,cat,,,
49,0.6180637444008781,2026-04-14 23:42:57.474855,2026-04-14 23:43:06.647323,0 days 00:00:09.172468,,0.5358335041860935,63,7,0.0011065136021090993,0.0245586266823747,40,1.813527606552727,0.984634926024359,,,,,,PRUNED,cat,,,
