event_name,event_url,event_date,location,event_date_parsed
UFC Fight Night: Kattar vs. Emmett,http://www.ufcstats.com/event-details/a0a680fe2f6cc8e6,2022-06-18,"Austin, Texas, USA",2022-06-18
UFC 275: Teixeira vs. Prochazka,http://www.ufcstats.com/event-details/3a24769a4855040a,2022-06-11,"Kallang, Singapore",2022-06-11
UFC Fight Night: Volkov vs. Rozenstruik,http://www.ufcstats.com/event-details/57591bbf1623574e,2022-06-04,"Las Vegas, Nevada, USA",2022-06-04
UFC Fight Night: Holm vs. Vieira,http://www.ufcstats.com/event-details/a6c32678efd4f434,2022-05-21,"Las Vegas, Nevada, USA",2022-05-21
UFC Fight Night: Blachowicz vs. Rakic,http://www.ufcstats.com/event-details/60ba33c3f555a7a3,2022-05-14,"Las Vegas, Nevada, USA",2022-05-14
UFC 274: Oliveira vs. Gaethje,http://www.ufcstats.com/event-details/253d3f9e97ca149a,2022-05-07,"Phoenix, Arizona, USA",2022-05-07
UFC Fight Night: Font vs. Vera,http://www.ufcstats.com/event-details/6bf5a7d3e081ade2,2022-04-30,"Las Vegas, Nevada, USA",2022-04-30
UFC Fight Night: Lemos vs. Andrade,http://www.ufcstats.com/event-details/236a37d96d476164,2022-04-23,"Las Vegas, Nevada, USA",2022-04-23
UFC Fight Night: Luque vs. Muhammad,http://www.ufcstats.com/event-details/8753e125f4499816,2022-04-16,"Las Vegas, Nevada, USA",2022-04-16
UFC 273: Volkanovski vs. The Korean Zombie,http://www.ufcstats.com/event-details/3a97fda0de6f1fa4,2022-04-09,"Jacksonville, Florida, USA",2022-04-09
UFC Fight Night: Blaydes vs. Daukaus,http://www.ufcstats.com/event-details/1fac46d466abd5b8,2022-03-26,"Columbus, Ohio, USA",2022-03-26
UFC Fight Night: Volkov vs. Aspinall,http://www.ufcstats.com/event-details/1d00756835ca67c9,2022-03-19,"London, England, United Kingdom",2022-03-19
UFC Fight Night: Santos vs. Ankalaev,http://www.ufcstats.com/event-details/1f9344211ca7fd60,2022-03-12,"Las Vegas, Nevada, USA",2022-03-12
UFC 272: Covington vs. Masvidal,http://www.ufcstats.com/event-details/75e0d3cc2262b732,2022-03-05,"Las Vegas, Nevada, USA",2022-03-05
UFC Fight Night: Makhachev vs. Green,http://www.ufcstats.com/event-details/f6a7b02c42e9fc5b,2022-02-26,"Las Vegas, Nevada, USA",2022-02-26
