event_name,event_date,fight_url,fighter_1,fighter_2,winner,f1_kd,f2_kd,f1_str,f2_str,f1_td,f2_td,f1_sub,f2_sub,weight_class,method,round,time
UFC 325: Volkanovski vs. Lopes 2,"January 31, 2026",http://www.ufcstats.com/fight-details/67765535bd0b6bdf,Tai Tuivasa,Tallison Teixeira,Tallison Teixeira,0,0,42,51,0,3,0,0,Heavyweight,U-DEC,3,5:00
UFC 325: Volkanovski vs. Lopes 2,"January 31, 2026",http://www.ufcstats.com/fight-details/32e9bc4d0a19a923,Quillan Salkilld,Jamie Mullarkey,Quillan Salkilld,0,0,5,1,2,1,1,0,Lightweight,"SUB

      

        Neck Crank",1,3:02
UFC 325: Volkanovski vs. Lopes 2,"January 31, 2026",http://www.ufcstats.com/fight-details/d94f1b32a81e3fa1,Junior Tafa,Billy Elekana,Billy Elekana,1,0,38,24,0,1,0,1,Light Heavyweight,"SUB

      

        Rear Naked Choke",2,3:18
UFC 325: Volkanovski vs. Lopes 2,"January 31, 2026",http://www.ufcstats.com/fight-details/47362cae6ba0e077,Cam Rowston,Cody Brundage,Cam Rowston,0,0,57,29,0,0,0,0,Middleweight,"KO/TKO

      

        Punches",2,4:08
UFC 325: Volkanovski vs. Lopes 2,"January 31, 2026",http://www.ufcstats.com/fight-details/0047f8aadca1936f,Jacob Malkoun,Torrez Finney,Jacob Malkoun,1,0,117,27,2,0,3,0,Middleweight,U-DEC,3,5:00
UFC 325: Volkanovski vs. Lopes 2,"January 31, 2026",http://www.ufcstats.com/fight-details/78912b78aa946375,Jonathan Micallef,Oban Elliott,Jonathan Micallef,0,0,19,40,1,0,1,0,Welterweight,"SUB

      

        Rear Naked Choke",2,3:31
UFC 325: Volkanovski vs. Lopes 2,"January 31, 2026",http://www.ufcstats.com/fight-details/4c1e7e1765a5438a,Kaan Ofli,Yizha,Kaan Ofli,0,1,48,68,0,3,0,0,Featherweight,M-DEC,3,5:00
UFC 325: Volkanovski vs. Lopes 2,"January 31, 2026",http://www.ufcstats.com/fight-details/ad14c502c9c5a7e9,Sangwook Kim,Dom Mar Fan,Dom Mar Fan,0,0,68,99,1,1,0,0,Lightweight,U-DEC,3,5:00
UFC 325: Volkanovski vs. Lopes 2,"January 31, 2026",http://www.ufcstats.com/fight-details/780bae82bdfc7112,Keiichiro Nakamura,Sebastian Szalay,Keiichiro Nakamura,1,0,45,79,0,1,0,0,Featherweight,"KO/TKO

      

        Knee",3,3:48
UFC 325: Volkanovski vs. Lopes 2,"January 31, 2026",http://www.ufcstats.com/fight-details/5c73e0013b859664,Sulangrangbo,Lawrence Lui,Lawrence Lui,0,0,56,52,0,7,0,0,Bantamweight,S-DEC,3,5:00
