event_name,event_date,fight_url,fighter_1_winner,fighter_2_loser,winner_kd,loser_kd,winner_str,loser_str,winner_td,loser_td,winner_sub,loser_sub,weight_class,method,round,time
UFC Fight Night: Evloev vs. Murphy,"March 21, 2026",http://www.ufcstats.com/fight-details/5ee11b727e89e8ad,Michael Page,Sam Patterson,0,0,27,12,0,0,0,0,Welterweight,U-DEC,3,5:00
UFC Fight Night: Evloev vs. Murphy,"March 21, 2026",http://www.ufcstats.com/fight-details/43e26b46cbb51985,Iwo Baraniewski,Austen Lane,1,0,10,0,0,0,0,0,Light Heavyweight,"KO/TKO

      

        Punch",1,0:28
UFC Fight Night: Evloev vs. Murphy,"March 21, 2026",http://www.ufcstats.com/fight-details/562d916f55918901,Christian Leroy Duncan,Roman Dolidze,0,0,54,10,0,3,0,0,Middleweight,U-DEC,3,5:00
UFC Fight Night: Evloev vs. Murphy,"March 21, 2026",http://www.ufcstats.com/fight-details/4e58bcc0d27042fd,Danny Silva,Kurtis Campbell,2,0,16,17,1,2,0,0,Featherweight,"KO/TKO

      

        Punches",2,0:31
UFC Fight Night: Evloev vs. Murphy,"March 21, 2026",http://www.ufcstats.com/fight-details/3ee578ddd071ad4c,Mason Jones,Axel Sola,0,0,110,65,0,3,0,0,Lightweight,U-DEC,3,5:00
UFC Fight Night: Evloev vs. Murphy,"March 21, 2026",http://www.ufcstats.com/fight-details/3b9f50f07d9a1601,Nathaniel Wood,Losene Keita,0,0,67,52,0,0,0,0,Featherweight,S-DEC,3,5:00
UFC Fight Night: Evloev vs. Murphy,"March 21, 2026",http://www.ufcstats.com/fight-details/90187edeeda7e6d6,Mario Pinto,Felipe Franco,0,0,34,21,2,0,0,0,Heavyweight,U-DEC,3,5:00
UFC Fight Night: Evloev vs. Murphy,"March 21, 2026",http://www.ufcstats.com/fight-details/8817bd21b6d0a989,Mantas Kondratavicius,Antonio Trocoli,1,0,75,17,2,1,1,0,Middleweight,U-DEC,3,5:00
UFC Fight Night: Evloev vs. Murphy,"March 21, 2026",http://www.ufcstats.com/fight-details/bfd17ed83ec5b598,Brando Pericic,Louie Sutherland,0,0,19,9,0,1,0,0,Heavyweight,"KO/TKO

      

        Punches",1,1:48
UFC Fight Night: Evloev vs. Murphy,"March 21, 2026",http://www.ufcstats.com/fight-details/bbe0f3653de9f6a8,Abdul-Kareem Al-Selwady,Shem Rock,0,0,81,47,0,1,0,0,Lightweight,U-DEC,3,5:00
UFC Fight Night: Evloev vs. Murphy,"March 21, 2026",http://www.ufcstats.com/fight-details/216bc9b661485017,Shanelle Dyer,Ravena Oliveira,0,0,49,26,1,0,0,0,Women's Strawweight,"KO/TKO

      

        Punches",2,1:17
UFC Fight Night: Moicano vs. Duncan,"April 04, 2026",http://www.ufcstats.com/fight-details/d69bd8e53ec858dc,Renato Moicano,Chris Duncan,0,0,21,27,1,0,1,0,Lightweight,"SUB

      

        Rear Naked Choke",2,3:14
UFC Fight Night: Moicano vs. Duncan,"April 04, 2026",http://www.ufcstats.com/fight-details/721642e7de112e9e,Virna Jandiroba,Tabatha Ricci,0,0,26,37,6,1,0,0,Women's Strawweight,U-DEC,3,5:00
